RptDt;TckrSymb;ISIN;Asst;QtyCtrctsDay;QtyShrDay;ValCtrctsDay;DnrMinRate;DnrAvrgRate;DnrMaxRate;TakrMinRate;TakrAvrgRate;TakrMaxRate
2020-08-06;MRFG3;BRMRFGACNOR0;MRFG;47;1980507;27746903,07;0,0900%;0,2800%;0,4000%;0,1000%;0,6500%;2,8000%
2020-08-06;MRVE3;BRMRVEACNOR2;MRVE;51;865273;16362312,43;0,1000%;0,5900%;0,6600%;0,1000%;1,1900%;2,2500%
2020-08-06;MTRE3;BRMTREACNOR6;MTRE;15;738373;10802396,99;2,3400%;4,8900%;6,5000%;4,7500%;5,1300%;6,5000%
2020-08-06;MTSA4;BRMTSAACNPR9;MTSA;1;35;758,8;0,1000%;0,1000%;0,1000%;1,1200%;1,1200%;1,1200%
2020-08-06;MULT3;BRMULTACNOR5;MULT;94;490026;10697267,58;0,1000%;0,3800%;0,4900%;0,2200%;0,6600%;2,5000%
2020-08-06;MYPK3;BRMYPKACNOR7;MYPK;95;500286;6488709,42;0,2000%;0,3800%;0,5200%;0,3000%;0,8400%;4,0000%
2020-08-06;NEOE3;BRNEOEACNOR3;NEOE;3;2845;58919,95;0,0800%;0,1000%;0,1300%;0,1500%;0,1600%;0,1800%
2020-08-06;NTCO3;BRNTCOACNOR5;NTCO;113;1393320;66377764,8;0,0700%;0,1500%;0,1600%;0,1000%;7,5600%;17,0000%
2020-08-06;ODPV3;BRODPVACNOR4;ODPV;10;429103;5797181,53;0,1000%;0,2700%;0,2800%;0,2800%;0,4000%;1,5000%
2020-08-06;OFSA3;BROFSAACNOR7;OFSA;1;40;1199,6;0,2100%;0,2100%;0,2100%;0,6500%;0,6500%;0,6500%
2020-08-06;OIBR3;BROIBRACNOR1;OIBR;69;9604435;15463140,35;0,4400%;2,7300%;3,5000%;1,5400%;3,9700%;7,6100%
2020-08-06;OIBR4;BROIBRACNPR8;OIBR;31;384981;989401,17;3,0700%;11,1400%;14,0000%;5,2700%;16,1400%;25,3100%
2020-08-06;OMGE3;BROMGEACNOR0;OMGE;2;3100;118017;0,1900%;0,2400%;0,2400%;0,2800%;0,2800%;0,3400%
2020-08-06;PARD3;BRPARDACNOR1;PARD;23;60686;1775065,5;0,2200%;0,4600%;1,0000%;0,5000%;0,9300%;1,9000%
2020-08-06;PCAR3;BRPCARACNOR3;PCAR;26;138493;9636342,94;0,1000%;0,2700%;0,3000%;0,1500%;0,5300%;0,8100%
2020-08-06;PDGR3;BRPDGRACNOR8;PDGR;4;1430;6406,4;0,3000%;0,4000%;0,7000%;0,5500%;0,6300%;1,0700%
2020-08-06;PETR3;BRPETRACNOR9;PETR;73;12935374;305921595,1;0,0100%;0,0300%;0,1500%;0,0100%;0,0400%;2,0300%
2020-08-06;PETR4;BRPETRACNPR6;PETR;433;8278310;190732262,4;0,0100%;0,0500%;1,0000%;0,0100%;0,2100%;2,0000%
2020-08-06;PFRM3;BRPFRMACNOR1;PFRM;3;4500;28755;2,2200%;2,7800%;3,0000%;5,0000%;7,8600%;8,0000%
2020-08-06;PIBB11;BRPIBBCTF005;PIBB;1;40;6974;0,1300%;0,1300%;0,1300%;0,3200%;0,3200%;0,3200%
2020-08-06;PINE4;BRPINEACNPR8;PINE;4;13443;40194,57;0,5000%;0,7200%;1,6000%;0,8000%;1,1200%;3,0000%
2020-08-06;PMAM3;BRPMAMACNOR3;PMAM;8;5800;70006;0,1200%;0,2000%;0,2200%;0,3000%;0,8700%;1,0000%
2020-08-06;PNVL3;BRPNVLACNOR9;PNVL;1;42000;1100820;2,7500%;2,7500%;2,7500%;3,0000%;3,0000%;3,0000%
2020-08-06;PNVL4;BRPNVLACNPR6;PNVL;1;100;2195;1,9200%;1,9200%;1,9200%;3,2000%;3,2000%;3,2000%
2020-08-06;POMO3;BRPOMOACNOR0;POMO;6;21613;58138,97;2,6800%;3,5700%;3,8500%;3,8300%;5,9400%;6,6000%
2020-08-06;POMO4;BRPOMOACNPR7;POMO;83;5008011;14222751,24;0,7100%;3,9300%;6,1000%;1,3000%;6,2800%;8,2000%
2020-08-06;POSI3;BRPOSIACNOR9;POSI;35;268300;1432722;2,3000%;6,1600%;9,0000%;2,3000%;7,1100%;11,5000%
2020-08-06;PRIO3;BRPRIOACNOR1;PRIO;144;468192;19621926,72;0,4200%;0,7700%;0,9100%;0,6400%;1,8600%;2,6000%
2020-08-06;PRNR3;BRPRNRACNOR4;PRNR;11;25000;267250;2,0000%;2,9300%;3,9300%;2,9000%;5,3000%;7,0000%
